Source,Destination,Redirect type,ModifiedDate
/id/credit-cards/integrations/tokenization,https://docs.xendit.co/docs/id/cards-save-a-card,endswith,21 Jul 2025,
/id/paylater/faq,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/paylater/media-asset,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/paylater/rules-and-limitations,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/paylater/cancellations,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/paylater/refunds,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/paylater/integrations/best-practices,https://docs.xendit.co/docs/id/integration-security-practices,endswith,21 Jul 2025,
/id/paylater/integrations/test-scenarios/general,https://docs.xendit.co/docs/id/error-scenarios,endswith,21 Jul 2025,
/id/paylater/integrations/third-party-integrations,https://docs.xendit.co/docs/id/plug-ins-overview,endswith,21 Jul 2025,
/id/paylater/integrations/xeninvoice,https://docs.xendit.co/docs/id/how-payment-links-work,endswith,21 Jul 2025,
/id/paylater/integrations/api,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,21 Jul 2025,
/id/paylater/integrations,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,21 Jul 2025,
/id/paylater/activation/kredivo-uat,https://docs.xendit.co/docs/id/paylater-channels,endswith,21 Jul 2025,
/id/paylater/activation/general,https://docs.xendit.co/docs/id/activating-payment-channels,endswith,21 Jul 2025,
/id/paylater/activation,https://docs.xendit.co/docs/id/activating-payment-channels,endswith,21 Jul 2025,
/id/paylater/payment-flows,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/paylater,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/xenpayments/retail-outlet/settlement,https://docs.xendit.co/docs/id/settlements,endswith,21 Jul 2025,
/id/xenpayments/retail-outlet/rules-and-limitations,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,21 Jul 2025,
/id/xenpayments/retail-outlet/testing,https://docs.xendit.co/docs/id/simulate-error-scenarios,endswith,21 Jul 2025,
/id/xenpayments/retail-outlet/payment-flow,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/xenpayments/retail-outlet/onboarding-and-activation,https://docs.xendit.co/docs/id/activating-payment-channels,endswith,21 Jul 2025,
/id/xenpayments/retail-outlet/feature-suite,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/xenpayments/retail-outlet,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/direct-debit/integration-guide/handling-invalid-expired-tokens,https://docs.xendit.co/docs/id/saving-payment-information,endswith,21 Jul 2025,
/id/direct-debit/integration-guide/payment-scenarios,https://docs.xendit.co/docs/id/error-scenarios,endswith,21 Jul 2025,
/id/direct-debit/integration-guide/account-unlinking,https://docs.xendit.co/docs/id/saving-payment-information,endswith,21 Jul 2025,
/id/direct-debit/integration-guide/account-linking,https://docs.xendit.co/docs/id/saving-payment-information,endswith,21 Jul 2025,
/id/direct-debit/integration-guide,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,21 Jul 2025,
/id/direct-debit/payment-flow,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/direct-debit/activation,https://docs.xendit.co/docs/id/activating-payment-channels,endswith,21 Jul 2025,
/id/direct-debit,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/credit-cards/faq,https://docs.xendit.co/docs/id/cards-api-overview,endswith,21 Jul 2025,
/id/credit-cards/xenshield,https://docs.xendit.co/docs/id/manage-fraud-with-xenshield,endswith,21 Jul 2025,
/id/credit-cards/chargebacks,https://docs.xendit.co/docs/id/understanding-chargebacks,endswith,21 Jul 2025,
/id/credit-cards/understanding-card-declines,https://docs.xendit.co/docs/id/cards-card-declines-and-error-codes,endswith,21 Jul 2025,
/id/credit-cards/moving-from-6-digit-bin-to-8-digit-bin,https://docs.xendit.co/docs/id/cards-api-overview,endswith,21 Jul 2025,
/id/credit-cards/settlement,https://docs.xendit.co/docs/id/settlements,endswith,21 Jul 2025,
/id/credit-cards/dashboard-permissions,https://docs.xendit.co/docs/id/users-permissions,endswith,21 Jul 2025,
/id/credit-cards/installments,https://docs.xendit.co/docs/id/cards-api-overview,endswith,21 Jul 2025,
/id/credit-cards/promotions,https://docs.xendit.co/docs/id/cards-api-overview,endswith,21 Jul 2025,
/id/credit-cards/subscriptions,https://docs.xendit.co/docs/id/cards-pay-and-save,endswith,21 Jul 2025,
/id/credit-cards/refunds,https://docs.xendit.co/docs/id/cards-refund-a-card-payment,endswith,21 Jul 2025,
/id/credit-cards/authentication/3ds-2,https://docs.xendit.co/docs/id/authentication-3ds2,endswith,21 Jul 2025,
/id/credit-cards/authentication/dynamic-3ds,https://docs.xendit.co/docs/id/authentication-3ds2,endswith,21 Jul 2025,
/id/credit-cards/authentication/3ds,https://docs.xendit.co/docs/id/authentication-3ds2,endswith,21 Jul 2025,
/id/credit-cards/rules-and-limitations,https://docs.xendit.co/docs/id/cards-api-overview,endswith,21 Jul 2025,
/id/credit-cards/foreign-transactions,https://docs.xendit.co/docs/id/cards-api-overview,endswith,21 Jul 2025,
/id/credit-cards/supported-currencies,https://docs.xendit.co/docs/id/cards-api-overview,endswith,21 Jul 2025,
/docs/id/overview-14,docs/id/cards-api-overview,endswith,21 Jul 2025,
/id/credit-cards/activation,https://docs.xendit.co/docs/id/activating-payment-channels,endswith,21 Jul 2025,
/id/credit-cards,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/qr-codes/media-assets,/,endswith,21 Jul 2025,
/id/qr-codes/chargebacks,https://docs.xendit.co/docs/id/understanding-chargebacks,endswith,21 Jul 2025,
/id/qr-codes/integrations/test-scenarios,https://docs.xendit.co/docs/id/error-scenarios,endswith,21 Jul 2025,
/id/qr-codes/integrations/test-guideline,https://docs.xendit.co/docs/id/simulate-error-scenarios,endswith,21 Jul 2025,
/id/qr-codes/rules-and-limitation,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/qr-codes/settlements,https://docs.xendit.co/docs/id/settlements,endswith,21 Jul 2025,
/id/qr-codes/activation,https://docs.xendit.co/docs/id/activating-payment-channels,endswith,21 Jul 2025,
/id/qr-codes/payment-flows/refund,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/qr-codes/payment-flows/payment,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/qr-codes,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/ewallet/media-assets,/,endswith,21 Jul 2025,
/docs/id/understanding-disputes-1,docs/id/understanding-chargebacks,endswith,21 Jul 2025,
/id/ewallet/chargebacks,https://docs.xendit.co/docs/id/managing-chargebacks,endswith,21 Jul 2025,
/id/ewallet/integrations/best-practices,https://docs.xendit.co/docs/id/account-security-overview,endswith,21 Jul 2025,
/id/ewallet/integrations/errors,https://archive.docs.xendit.co/id/ewallet/integrations/test-scenarios,endswith,21 Jul 2025,
/id/ewallet/integrations/test-scenarios,https://docs.xendit.co/docs/id/simulate-error-scenarios,endswith,21 Jul 2025,
/id/ewallet/integrations/test-guideline,https://docs.xendit.co/docs/id/simulate-error-scenarios,endswith,21 Jul 2025,
/id/ewallet/checkout-methods,https://docs.xendit.co/docs/id/available-payment-channels,endswith,21 Jul 2025,
/id/ewallet/integrations,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,21 Jul 2025,
/id/xenplatform/account-holder,https://docs.xendit.co/docs/id/verify-sub-accounts,endswith,20 Jul 2025,
/id/xenplatform/activation,https://docs.xendit.co/docs/id/activate-xenplatform,endswith,20 Jul 2025,
/id/xenplatform/transaction-fees,https://docs.xendit.co/docs/id/xenplatform-fees,endswith,20 Jul 2025,
/id/xenplatform/account-reports,https://docs.xendit.co/docs/id/consolidated-reports,endswith,20 Jul 2025,
/id/xenplatform/dashboard,https://docs.xendit.co/docs/id/xenplatform-monitoring-transactions,endswith,20 Jul 2025,
